Latitude,Longitude,class,Gentime
42.23154831,-83.60059357,A2,2.93E+14
42.29418945,-83.70469666,A2,2.93E+14
42.30366135,-83.74514008,A2,2.93E+14
42.30366898,-83.74516296,A2,2.93E+14
42.29140091,-83.83879852,A2,2.93E+14
42.29156113,-83.83905792,A2,2.93E+14
42.27270297,-83.69826353,C,
42.27590883,-83.73244752,C,
42.27503228,-83.73335636,C,
42.31879909,-83.73913683,C,
42.31879909,-83.73913683,C,
