,RxDevice,FileId,TxDevice,Gentime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence,DHeading,class
437343,2087,1828791,2087,2.92772E+14,22455,80,16306,41.86597061,-83.66124725,169.5,34.34000015,175.2250061,-7.949999809,20.01000023,0,-7.239999771,3,3276.699951,24,4.024993896,B2
2207383,2325,1898561,2325,2.92802E+14,20975,5,4215,42.21854019,-83.54608154,177.3000031,31.02000046,265.4249878,-7.269999981,20.01000023,-0.119999997,6.099999905,4,1377.400024,30,2.787475586,B2
2207384,2325,1898561,2325,2.92802E+14,20975,6,4216,42.21854019,-83.54611969,177.3000031,30.29999924,266.0375061,-7.510000229,20.01000023,-0.119999997,6.760000229,4,931,30,3.537506104,B2
2207385,2325,1898561,2325,2.92802E+14,20975,7,4217,42.21854019,-83.54615021,177.3000031,29.63999939,266.4624939,-7.21999979,20.01000023,-0.079999998,6.610000134,4,689.9000244,35,4.100006104,B2
2207386,2325,1898561,2325,2.92802E+14,20975,8,4218,42.21854019,-83.54618073,177.3999939,28.86000061,266.8875122,-7.300000191,20.01000023,0,6.059999943,4,547.7000122,44,4.662506104,B2
2207389,2325,1898561,2325,2.92802E+14,20975,11,4221,42.21854019,-83.54625702,177.5,26.36000061,268.4750061,-8.069999695,20.01000023,0,5.300000191,4,351.1000061,50,6.487518311,B2
1985559,2295,2026353,2295,2.92793E+14,-7952,110,5022,42.30603027,-83.78119659,255.8000031,11.56000042,171,-7.099999905,20.01000023,0,-3.920000076,4,-667.7999878,35,3.387496948,B2
1985560,2295,2026353,2295,2.92793E+14,-7952,111,5023,42.30603027,-83.78119659,255.8000031,11.31999969,170.5874939,-6.889999866,20.01000023,0,-3.890000105,4,-529.7000122,38,3.5625,B2
311359,2061,2120247,2061,2.92766E+14,31127,121,4705,42.28501892,-83.74581146,215.8999939,6.840000153,180.0500031,-7.21999979,20.01000023,0,-1.590000033,7,-465.7000122,46,2.5,B2
311360,2061,2120247,2061,2.92766E+14,31127,122,4706,42.28501129,-83.74581146,215.8999939,6.559999943,180.3625031,-8.079999924,20.01000023,0,-0.100000001,7,-455.7999878,84,2.0625,B2
311361,2061,2120247,2061,2.92766E+14,31127,123,4707,42.28501129,-83.74581146,215.8999939,5.739999771,180.3500061,-8.079999924,20.01000023,0,-0.100000001,7,-461.6000061,49,1.862487793,B2
311362,2061,2120247,2061,2.92766E+14,31127,124,4708,42.28499985,-83.74581146,216,6.079999924,179.3374939,-7.900000095,20.01000023,0,-1.350000024,8,-453.7999878,86,2.8125,B2
311363,2061,2120247,2061,2.92766E+14,31127,125,4709,42.28499985,-83.74581146,215.8999939,5.420000076,178.9875031,-7.630000114,20.01000023,0,-2.390000105,8,-412.7999878,51,3.0625,B2
1485550,2206,2257468,2206,2.92775E+14,-13686,31,5690,42.23044968,-83.69557953,224.5,22.45999908,319.8500061,-7.769999981,20.01000023,-0.340000004,20.63999939,4,118,44,17.0375061,B2
1863896,2275,2467062,2275,2.92806E+14,32220,70,4429,42.29457092,-83.68267822,235.8999939,20.05999947,320.7875061,-7.320000172,20.01000023,0,6.349999905,2,1416.300049,22,2.137512207,B2
1863899,2275,2467062,2275,2.92806E+14,32220,73,4432,42.29460144,-83.68271637,235.8999939,17.78000069,319.6749878,-8.210000038,20.01000023,0,-0.74000001,2,524.2000122,24,1.162475586,B2
1849694,2269,3263825-B,2269,2.92768E+14,-18679,113,2841,42.42908096,-83.77059937,246.5,15.73999977,87.38749695,-7.099999905,20.01000023,0,-1.659999967,2,3276.699951,42,1,B2
1436483,2200,1251271-B,2200,2.92799E+14,-5397,75,4499,42.33654022,-83.0595932,139.8999939,31.79999924,241.2624969,10.48999977,20.01000023,-0.039999999,-0.860000014,5,631.2999878,34,5.3125,A1
1436484,2200,1251271-B,2200,2.92799E+14,-5397,76,4500,42.33652115,-83.05962372,139.8999939,32.5,241.1999969,11.31000042,20.01000023,0,-0.819999993,5,778.7000122,40,4.849990845,A1
1436857,2200,1251271-B,2200,2.92799E+14,-5397,65,4873,42.33330917,-83.07351685,143.6000061,35.95999908,249.0124969,10.68999958,20.01000023,0,-1.779999971,3,943.9000244,28,0.212493896,A1
1449442,2200,1251271-B,2200,2.928E+14,-21263,53,17458,42.23263168,-83.36837006,161.3999939,28.60000038,252.875,10.82999992,20.01000023,0,2.190000057,2,3276.699951,42,1.225006104,A1
1449443,2200,1251271-B,2200,2.928E+14,-21263,54,17459,42.23262024,-83.36840057,161.3999939,29.68000031,253.0874939,10.82999992,20.01000023,0,2.190000057,2,1368.900024,82,1.287490845,A1
1449444,2200,1251271-B,2200,2.928E+14,-21263,55,17460,42.2326088,-83.36843872,161.5,29.86000061,252.0500031,15.61999989,20.01000023,0,-0.649999976,2,1219.300049,36,0.287506104,A1
1449445,2200,1251271-B,2200,2.928E+14,-21263,56,17461,42.23260117,-83.36850739,161.6999969,30.04000092,251.9125061,12.28999996,20.01000023,0,-2.210000038,2,1220.300049,26,0.025009155,A1
2207401,2325,1898561,2325,2.92802E+14,20975,23,4233,42.2184906,-83.54673004,177.8999939,33.97999954,261.7625122,10.61999989,20.01000023,-0.059999999,-9.739999771,4,-809,32,2.162475586,A1
1863911,2275,2467062,2275,2.92806E+14,32220,85,4444,42.29476929,-83.68293762,236,25.57999992,315.8374939,11.52000046,20.01000023,0,-1.799999952,2,-295.2000122,37,2.0625,A1
1863912,2275,2467062,2275,2.92806E+14,32220,86,4445,42.29478836,-83.68296051,236,25.79999924,315.8875122,10.92000008,20.01000023,0,-1.370000005,2,-296.6000061,42,2.337493896,A1
1139478,2176,1231706-B,2176,2.9277E+14,4061,34,7688,42.36275864,-83.07068634,156.1999969,23.63999939,228.1000061,5.989999771,20.01000023,0,-4.269999981,4,-829.7999878,33,4.112487793,A2
1139479,2176,1231706-B,2176,2.9277E+14,4061,35,7689,42.36275101,-83.0707016,156.1999969,24.21999931,227.6750031,5.989999771,20.01000023,0,-4.269999981,4,-771.2000122,30,4.487503052,A2
1142200,2176,1231706-B,2176,2.9277E+14,20291,101,10410,42.37739944,-83.14615631,152,36.75999832,3.662499905,5.710000038,20.01000023,0,2.599999905,4,1385.900024,82,2.124999881,A2
1144091,2176,1231706-B,2176,2.9277E+14,-6250,125,12301,42.37879944,-83.21707153,159.3000031,34.81999969,269.4750061,5.53000021,20.01000023,-0.079999998,-0.100000001,2,3276.699951,86,0.362518311,A2
1144092,2176,1231706-B,2176,2.9277E+14,-6250,126,12302,42.37879944,-83.21711731,159.3999939,35.52000046,269.6375122,7.489999771,20.01000023,0,0.319999993,2,3276.699951,92,0.550018311,A2
1144093,2176,1231706-B,2176,2.9277E+14,-6250,127,12303,42.37879944,-83.21716309,159.3999939,36.11999893,269.4874878,7.769999981,20.01000023,-0.02,0.180000007,2,3276.699951,88,0.487487793,A2
1144094,2176,1231706-B,2176,2.9277E+14,-6250,0,12304,42.37879944,-83.21720886,159.5,36.45999908,269.2999878,6.21999979,20.01000023,0,-0.280000001,2,3276.699951,92,0.087493896,A2
1159160,2176,1231707,2176,2.92789E+14,-1029,41,719,42.30677032,-83.68702698,239.3999939,24.13999939,359.7999878,5.340000153,20.01000023,0,4.639999866,20,3276.699951,26,2.174987793,A2
1159161,2176,1231707,2176,2.92789E+14,-1029,42,720,42.30680084,-83.68702698,239.5,24.71999931,0.600000024,6.159999847,20.01000023,0,5.980000019,19,3276.699951,22,2.899987817,A2
1159163,2176,1231707,2176,2.92789E+14,-1029,44,722,42.30685043,-83.68702698,239.3999939,25.79999924,2.049999952,5.840000153,20.01000023,-0.140000001,7.53000021,19,1000.299988,24,4.299999952,A2
1159164,2176,1231707,2176,2.92789E+14,-1029,45,723,42.30686951,-83.68702698,239.3999939,26.57999992,2.9375,6.659999847,20.01000023,-0.300000012,7.929999828,19,644.9000244,30,5.112487793,A2
1159165,2176,1231707,2176,2.92789E+14,-1029,46,724,42.30690002,-83.68701935,239.3999939,27.15999985,3.337500095,6.690000057,20.01000023,-0.239999995,7.349999905,19,476.1000061,38,5.424993992,A2
1170191,2176,1231707,2176,2.92791E+14,-4746,33,11750,42.38399887,-83.31390381,145.8000031,30.39999962,85.8125,5.420000076,20.01000023,-0.219999999,-5.46999979,3,3276.699951,22,3.275001526,A2
1411566,2200,1251269,2200,2.92756E+14,28656,23,11915,42.22011948,-83.43958282,167.6999969,29.79999924,93.90000153,6.170000076,20.01000023,-0.02,7.070000172,7,381.5,44,5.112503052,A2
1420513,2200,1251269,2200,2.92757E+14,-20080,50,20862,42.31547928,-83.16940308,140.6999969,31.62000084,28.86249924,6,20.01000023,-0.02,1.269999981,3,-838.2000122,32,2.3125,A2
1421156,2200,1251269,2200,2.92757E+14,10644,19,21505,42.32888031,-83.15644836,141,29.21999931,66.69999695,6.269999981,20.01000023,-0.059999999,-8.130000114,9,-890,22,2.425003052,A2
1421157,2200,1251269,2200,2.92757E+14,10644,20,21506,42.32889175,-83.15641785,141,29.52000046,66.16249847,5.570000172,20.01000023,0,-7.369999886,9,-589.4000244,36,3.375,A2
1422223,2200,1251269,2200,2.92757E+14,10644,62,22572,42.33848953,-83.12206268,141.8000031,30.29999924,56.52500153,5.420000076,20.01000023,0,-8.029999733,3,-626.4000244,28,5.299999237,A2
1423113,2200,1251269,2200,2.92757E+14,10644,56,23462,42.35015106,-83.09892273,148.1000061,25.13999939,68.40000153,6.360000134,20.01000023,0,1.350000024,2,939.5999756,47,1.200004578,A2
1423114,2200,1251269,2200,2.92757E+14,10644,57,23463,42.35015869,-83.09889221,148.1000061,25.65999985,68.15000153,6.639999866,20.01000023,0,0.01,2,841.5,35,1.112503052,A2
1423115,2200,1251269,2200,2.92757E+14,10644,58,23464,42.35017014,-83.09886169,148.1000061,26.02000046,68.23750305,5.539999962,20.01000023,-0.059999999,-0.479999989,2,809.5,32,1.337501526,A2
1423158,2200,1251269,2200,2.92757E+14,10644,101,23507,42.3504715,-83.09764862,146.6000061,25.18000031,67.875,6.159999847,20.01000023,0,-4.420000076,5,-431.5,54,4.724998474,A2
1423159,2200,1251269,2200,2.92757E+14,10644,102,23508,42.35047913,-83.09763336,146.5,25.70000076,67.36250305,6.650000095,20.01000023,0,-4.920000076,6,-423.3999939,44,4.887496948,A2
1423160,2200,1251269,2200,2.92757E+14,10644,103,23509,42.35049057,-83.09760284,146.3999939,25.95999908,67.21250153,5.289999962,20.01000023,0,-4.5,6,-413.1000061,48,4.787498474,A2
1435319,2200,1251271-B,2200,2.92798E+14,-29327,74,3335,42.3564415,-83.05153656,148.8000031,31.79999924,154.0874939,5.329999924,20.01000023,-0.039999999,0.519999981,4,3276.699951,60,0.549987793,A2
1435320,2200,1251271-B,2200,2.92798E+14,-29327,75,3336,42.35641098,-83.0515213,148.6999969,32.45999908,153.6499939,7.050000191,20.01000023,-0.059999999,-1.100000024,4,3276.699951,46,0.012496948,A2
1436482,2200,1251271-B,2200,2.92799E+14,-5397,74,4498,42.3365593,-83.05954742,139.8999939,30.45999908,241.3249969,5.639999866,20.01000023,-0.02,-0.839999974,5,534.2999878,30,5.862503052,A2
1436485,2200,1251271-B,2200,2.92799E+14,-5397,77,4501,42.3365097,-83.05966187,139.8999939,32.91999817,241.4125061,8.869999886,20.01000023,0,-0.230000004,6,1003.900024,74,4.625,A2
1436856,2200,1251271-B,2200,2.92799E+14,-5397,64,4872,42.33332062,-83.0734787,143.6000061,34.5,250.5124969,5.510000229,20.01000023,0,2.140000105,3,1035.199951,62,1.550003052,A2
1436968,2200,1251271-B,2200,2.92799E+14,-5397,48,4984,42.33248901,-83.07765961,144,31.84000015,271.4125061,7.519999981,20.01000023,0,12.01000023,6,448.2000122,35,6.3125,A2
1436969,2200,1251271-B,2200,2.92799E+14,-5397,49,4985,42.33248901,-83.07769775,144,31.97999954,271.7625122,6.800000191,20.01000023,0,10.47000027,6,338.7999878,96,6.462524414,A2
